"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C17,C11,C14,C12";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"1u";;;
2;"C15,C10,C16,C18,C6,C4,C13,C19,C7,C1,C20";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";11;"0.1u";;;
3;"U1";"SOP-8_5.28x5.23mm_P1.27mm";1;"W25Q128JVSIQ";;;
4;"Y1";"Crystal_SMD_HC49-SD";1;"12MHz";;;
5;"R3,R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"10k";;;
6;"R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1k";;;
7;"J2";"PinHeader_1x08_P2.00mm_Horizontal";1;"Display";;;
8;"SW3";"SW_SPST_B3S-1000";1;"RST";;;
9;"R6,R7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"27.4";;;
10;"R12,R13,R10,R9,R11,R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";6;"2.2k";;;
11;"L1";"L_1206_3216Metric_Pad1.22x1.90mm_HandSolder";1;"600";;;
12;"D10,D9,D7,D8";"LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder";4;"LED_Small";;;
13;"J5";"PinSocket_1x04_P2.54mm_Vertical";1;"Debug";;;
14;"J6";"PinHeader_1x04_P2.54mm_Vertical";1;"USB";;;
15;"C2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10u";;;
16;"IC2";"QFN40P700X700X90-57N-D";1;"RP2040";;;
17;"R2,R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"1.2k";;;
18;"IC1";"SOP65P640X120-16N";1;"TSC2007IPWR";;;
19;"J1";"touch";1;"Touch";;;
20;"C8,C9";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"27p";;;
21;"J4";"SW_SPST_B3S-1000";1;"Conn_01x02";;;
22;"J7";"connector_pcb";1;"I2C_interface";;;
