"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C17,C11,C14,C12";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"1u";;;
2;"C15,C10,C16,C18,C6,C4,C13,C2,C19,C7,C1,C20,C3,C5";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";14;"0.1u";;;
3;"U1";"SOP-8_5.28x5.23mm_P1.27mm";1;"W25Q32JVSS";;;
4;"D3,D2,D4,D5,D6";"D_0603_1608Metric_Pad1.05x0.95mm_HandSolder";5;"ESD9B5.0ST5G";;;
5;"Y1";"Crystal_SMD_HC49-SD";1;"12MHz";;;
6;"R3,R2,R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"10k";;;
7;"R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1k";;;
8;"SW2";"TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal";1;"BTN1";;;
9;"J2";"TerminalBlock_bornier-2_P5.08mm";1;"Power 12V";;;
10;"SW3";"SW_SPST_B3S-1000";1;"RST";;;
11;"R6,R7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"27.4";;;
12;"R12,R13,R10,R9,R11,R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";6;"2.2k";;;
13;"L1";"L_1206_3216Metric_Pad1.22x1.90mm_HandSolder";1;"600";;;
14;"D10,D9,D7,D8";"LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder";4;"LED_Small";;;
15;"J5";"PinSocket_1x04_P2.54mm_Vertical";1;"Debug";;;
16;"J6";"PinHeader_1x04_P2.54mm_Vertical";1;"USB";;;
17;"IC2";"QFN40P700X700X90-57N-D";1;"RP2040";;;
18;"D1";"D_SMB_Handsoldering";1;"D_Small";;;
19;"IC1";"SOT230P700X180-4N";1;"FDT439N";;;
20;"J1";"TerminalBlock_bornier-2_P5.08mm";1;"Solenoid";;;
21;"C8,C9";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"27p";;;
22;"R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"100";;;
23;"J4";"SW_SPST_B3S-1000";1;"Conn_01x02";;;
24;"J3";"TerminalBlock_4Ucon_1x04_P3.50mm_Horizontal";1;"encoder";;;
25;"SW1";"TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal";1;"BTN2";;;
26;"J7";"connector_pcb";1;"I2C_interface";;;
