"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C27,C28";"CP_Elec_6.3x3.9";2;"100u";;;
2;"Q1";"DMT3020LDV7";1;"DMT3020LDV-7";;;
3;"R13";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"22k";;;
4;"U1";"HSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.1mm_ThermalVias";1;"LR1801";;;
5;"J11,J8,J9,J13,J6,J12,J7,J10";"card_connector";8;"I2C_interface";;;
6;"D8,D2,D5,D1,D4";"D_SOD-128";5;"D_Schottky";;;
7;"C26,C11,C23";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"4.7u";;;
8;"R12,R5,R21,R24,R15";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";5;"10k";;;
9;"C5,C22,C21,C14,C15,C7,C16,C3,C6,C2,C8,C20";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";12;"10u";;;
10;"R19";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"470";;;
11;"U3";"SSOP-20_5.3x7.2mm_P0.65mm";1;"ATtiny826-X";;;
12;"L2";"L_Sunlord_MWSA1003S";1;"10u";;;
13;"R23";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"2.2E";;;
14;"R10,R2,R8,R7,R11,R4,R3,R17,R9";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";9;"100k";;;
15;"C1";"CP_Elec_6.3x7.7";1;"100u";;;
16;"R14";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"45k";;;
17;"L1";"L_Bourns_SRN6045TA";1;"2.2u";;;
18;"J4";"PinHeader_1x03_P2.54mm_Vertical";1;"UDPI";;;
19;"D9,D10";"LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder";2;"LED_Small";;;
20;"R22";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"2.55k";;;
21;"F1";"FUSE_HOLDER";1;"10A";;;
22;"R16";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"499k";;;
23;"C19,C29,C12,C30";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"0.1u";;;
24;"D3";"D_SMA-SMB_Universal_Handsoldering";1;"D_TVS";;;
25;"C9";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"3.3n";;;
26;"IC2";"SOP50P490X110-10N";1;"LTC4368IMS-2#PBF";;;
27;"C25";"CP_Elec_6.3x3.9";1;"22u";;;
28;"C4";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"120p";;;
29;"IC4";"SOP65P640X120-15N";1;"TPS55340PWPR";;;
30;"J5";"TerminalBlock_bornier-2_P5.08mm";1;"24V OUT";;;
31;"J1";"TerminalBlock_bornier-2_P5.08mm";1;"12V OUT";;;
32;"R20";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"78.7k";;;
33;"U2";"SOT-23-5";1;"TPS613222ADBV";;;
34;"R18";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"237k";;;
35;"D7";"TO-277A";1;"D_Schottky";;;
36;"J3";"TerminalBlock_bornier-3_P5.08mm";1;"BAT";;;
37;"J2";"TerminalBlock_Dinkle_DT-55-B01X-02_P10.00mm";1;"12V Input";;;
38;"IC3";"SIC438BEDT1GE3";1;"SIC438BED-T1-GE3";;;
39;"C10";"CP_Elec_8x10.5";1;"100u";;;
40;"C17";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"1u";;;
41;"D6";"LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"red";;;
42;"C13";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"0.22u";;;
43;"R26,R25";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"330";;;
44;"R1";"R_2512_6332Metric_Pad1.40x3.35mm_HandSolder";1;"5mOhm";;;
45;"R6";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"5E";;;
46;"C24";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"0.047u";;;
47;"IC1";"SON50P200X200X80-9N";1;"BQ25172DSGR";;;
48;"C18";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"100n";;;
49;"L3";"L_Sunlord_MWSA1003S";1;"1.5uH";;;
