Time [s], Analyzer Name, Decoded Protocol Result
0.322796500000000,Async Serial,'0' (framing error)
2.034763500000000,Async Serial,'255'
2.085016500000000,Async Serial,'27'
2.085284000000000,Async Serial,8
2.085552500000000,Async Serial,'0'
2.085821000000000,Async Serial,'0'
2.088394500000000,Async Serial,'27'
2.088662500000000,Async Serial,@
2.090084500000000,Async Serial,'27'
2.090352500000000,Async Serial,D
2.091775500000000,Async Serial,'4'
2.092050000000000,Async Serial,'8'
2.092318500000000,Async Serial,'12'
2.092587000000000,Async Serial,'16'
2.095153500000000,Async Serial,'20'
2.095422000000000,Async Serial,'24'
2.095690000000000,Async Serial,'28'
2.095958000000000,Async Serial,'0'
2.098532000000000,Async Serial,'27'
2.098800000000000,Async Serial,7
2.100220500000000,Async Serial,'11'
2.100488500000000,Async Serial,x
2.100756500000000,Async Serial,(
3.100354000000000,Async Serial,'27'
3.100622000000000,Async Serial,!
3.100890500000000,Async Serial,'16'
3.102890500000000,Async Serial,'27'
3.103164500000000,Async Serial,!
3.103432500000000,Async Serial,0
3.105429500000000,Async Serial,T
3.106279500000000,Async Serial,O
3.107133000000000,Async Serial,T
3.107981000000000,Async Serial,A
3.108839000000000,Async Serial,L
3.109689000000000,Async Serial,' '
3.110539500000000,Async Serial,' '
3.111393500000000,Async Serial,$
3.112244000000000,Async Serial,' '
3.113096000000000,Async Serial,3
3.113953500000000,Async Serial,4
3.114807500000000,Async Serial,5
3.115659000000000,Async Serial,\n
4.568103000000000,Async Serial,'27'
4.568377000000000,Async Serial,!
4.568645500000000,Async Serial,'16'
4.570641500000000,Async Serial,'27'
4.570909500000000,Async Serial,!
4.571177500000000,Async Serial,'0'
4.573178500000000,Async Serial,(
4.574029000000000,Async Serial,T
4.574879000000000,Async Serial,r
4.575728500000000,Async Serial,e
4.576582500000000,Async Serial,s
4.577433500000000,Async Serial,c
4.578291000000000,Async Serial,i
4.579144500000000,Async Serial,e
4.579994500000000,Async Serial,n
4.580844000000000,Async Serial,t
4.581694000000000,Async Serial,o
4.582545000000000,Async Serial,s
4.583398500000000,Async Serial,' '
4.584253000000000,Async Serial,C
4.585103000000000,Async Serial,u
4.585952500000000,Async Serial,a
4.586802500000000,Async Serial,r
4.587654000000000,Async Serial,e
4.588511500000000,Async Serial,n
4.589365000000000,Async Serial,t
4.590215000000000,Async Serial,a
4.591065000000000,Async Serial,' '
4.591919500000000,Async Serial,y
4.592770500000000,Async Serial,' '
4.593629000000000,Async Serial,C
4.594479000000000,Async Serial,i
4.595333000000000,Async Serial,n
4.596182500000000,Async Serial,c
4.597036500000000,Async Serial,o
4.597887500000000,Async Serial,' '
4.598745500000000,Async Serial,P
4.599595500000000,Async Serial,e
4.600449500000000,Async Serial,s
5.333395000000000,Async Serial,o
5.334244500000000,Async Serial,s
5.335094000000000,Async Serial,' '
5.335944500000000,Async Serial,0
5.336796500000000,Async Serial,0
5.337654500000000,Async Serial,/
5.338511500000000,Async Serial,1
5.339362000000000,Async Serial,0
5.340212000000000,Async Serial,0
5.341062500000000,Async Serial,' '
5.341914500000000,Async Serial,M
5.342768000000000,Async Serial,.
5.343625500000000,Async Serial,N
5.344475500000000,Async Serial,.
5.345329000000000,Async Serial,)
5.346180500000000,Async Serial,\n
6.079126000000000,Async Serial,P
6.079980000000000,Async Serial,r
6.080830000000000,Async Serial,e
6.081681500000000,Async Serial,c
6.082535000000000,Async Serial,i
6.083385000000000,Async Serial,o
6.084234000000000,Async Serial,' '
6.085089000000000,Async Serial,U
6.085939000000000,Async Serial,.
6.086790500000000,Async Serial,' '
6.087648500000000,Async Serial,' '
6.088499000000000,Async Serial,$
6.089349000000000,Async Serial,9
6.090198500000000,Async Serial,.
6.091052500000000,Async Serial,5
6.091904000000000,Async Serial,0
6.092763500000000,Async Serial,\n
6.825709000000000,Async Serial,0
6.826567000000000,Async Serial,4
6.827424500000000,Async Serial,/
6.828274000000000,Async Serial,0
6.829128000000000,Async Serial,9
6.829978500000000,Async Serial,/
6.830829500000000,Async Serial,2
6.831687500000000,Async Serial,3
6.832545000000000,Async Serial,' '
6.833395000000000,Async Serial,' '
6.834246000000000,Async Serial,5
6.835095500000000,Async Serial,:
6.835947000000000,Async Serial,0
6.836805000000000,Async Serial,0
6.837663000000000,Async Serial,:
6.838512500000000,Async Serial,4
6.839362500000000,Async Serial,5
6.840210000000000,Async Serial,\n
7.573156000000000,Async Serial,U
7.574006000000000,Async Serial,n
7.574859500000000,Async Serial,i
7.575711000000000,Async Serial,t
7.576568500000000,Async Serial,' '
7.577426500000000,Async Serial,0
7.578277000000000,Async Serial,0
7.579127000000000,Async Serial,2
7.579978500000000,Async Serial,\n
8.312927999999999,Async Serial,F
8.313777999999999,Async Serial,O
8.314627500000000,Async Serial,L
8.315475500000000,Async Serial,I
8.316333000000000,Async Serial,O
8.317183000000000,Async Serial,' '
8.318037000000000,Async Serial,' '
8.318887500000001,Async Serial,' '
8.319737500000000,Async Serial,' '
8.320589500000001,Async Serial,' '
8.321448000000000,Async Serial,1
8.322299500000000,Async Serial,\n
9.055249000000000,Async Serial,'27'
9.055523000000001,Async Serial,!
9.055790999999999,Async Serial,'16'
9.057786999999999,Async Serial,'27'
9.058054500000001,Async Serial,!
9.058323000000000,Async Serial,0
